,titulo,localizacion,latitude,longitude,price,energy_certification,room_number,bath_number,has_garden,has_terrace,has_parking,has_swimmingpool,has_lift,constructed_area,is_new_development,is_needs_renovating,is_goog_condition
33,Casa o chalet independiente en venta en calle Figurillas,"Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6543062,-4.4966165999999985,790000,e,4,2,1.0,1.0,1.0,1.0,0.0,255,0,0,1
34,Chalet adosado en venta en calle Malasia s/n,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6707764,-4.516408900000001,320000,b,3,3,0.0,1.0,1.0,1.0,0.0,140,0,0,1
35,Casa o chalet independiente en venta en Av. Asunción,"Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6536297,-4.4921254,795000,a,5,5,1.0,1.0,1.0,1.0,0.0,407,0,1,0
36,Piso en venta en calle Mercedes Formica,"Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6576179,-4.5050633,297100,d,3,2,1.0,1.0,1.0,1.0,1.0,156,0,0,1
37,Casa o chalet independiente en venta en avenida Asunción,"Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.654368,-4.4935667,790000,c,5,3,1.0,1.0,1.0,1.0,0.0,440,0,0,1
38,Chalet adosado en venta en Churriana-El Pizarrillo-La Noria-Guadalsol,"Churriana, Málaga",36.6634024,-4.4985914000000005,205000,e,3,1,0.0,1.0,1.0,0.0,0.0,130,0,0,1
40,Piso en venta en calle Moby Dick,"Guadalmar, Málaga",36.665484,-4.459338099999999,249900,unknown,3,1,1.0,1.0,1.0,1.0,1.0,83,0,0,1
41,"Piso en venta en calle Mercedes Formica, 12","Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6598242,-4.5041845,297100,e,3,2,1.0,1.0,1.0,1.0,1.0,118,0,0,1
42,Casa o chalet independiente en venta en calle Fresnos de Guadalmar,"Guadalmar, Málaga",36.666543,-4.4609755999999985,779000,inProcess,4,3,1.0,0.0,1.0,1.0,0.0,230,0,0,1
43,Chalet adosado en venta en calle Ernesto Kusche,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6616864,-4.4983251,367000,d,4,3,1.0,1.0,1.0,1.0,0.0,195,0,0,1
44,Dúplex en venta en REAL DE MÁLAGA,"San Francisco - El Chorrillo, Las Gabias",37.1328,-3.66879,129900,inProcess,4,2,0.0,1.0,0.0,0.0,1.0,115,0,0,1
45,Chalet adosado en venta en RIBERA,"San Francisco - El Chorrillo, Las Gabias",37.1329055,-3.6706027,179999,inProcess,4,2,1.0,1.0,1.0,1.0,0.0,230,0,0,1
46,Chalet adosado en venta en Cortijo de Maza-Finca Monsalvez-El Olivar,"Churriana, Málaga",36.6469253,-4.5018207000000015,182100,inProcess,3,1,0.0,1.0,0.0,0.0,0.0,83,0,1,0
47,"Piso en venta en calle Rogelio Oliva, 11","Guadalmar, Málaga",36.6638777,-4.4607722,262181,f,2,1,1.0,0.0,0.0,1.0,1.0,108,0,0,1
48,Casa o chalet independiente en venta en Cortijo de Maza-Finca Monsalvez-El Olivar,"Churriana, Málaga",36.6507172,-4.4980983,900000,inProcess,6,4,1.0,1.0,1.0,1.0,0.0,384,0,1,0
49,Piso en venta en Churriana-El Pizarrillo-La Noria-Guadalsol,"Churriana, Málaga",36.6659889,-4.5149367,182000,inProcess,1,1,1.0,1.0,1.0,1.0,1.0,55,0,0,1
50,Finca rústica en venta en Pinos de Alhaurín,Alhaurín de la Torre,36.6597396,-4.5822227999999985,210000,inProcess,1,1,1.0,0.0,0.0,1.0,0.0,65,0,0,1
51,Piso en venta en Cortijo de Maza-Finca Monsalvez-El Olivar,"Churriana, Málaga",36.66014600000001,-4.4978386,235000,inProcess,3,2,1.0,0.0,1.0,1.0,1.0,89,0,0,1
52,Casa o chalet independiente en venta en avenida Ricardo Gross,"Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6548086,-4.4900614,790000,d,5,3,1.0,1.0,1.0,1.0,0.0,440,0,0,1
53,Casa o chalet independiente en venta en avenida Ricardo Gross,"Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.653835,-4.491917900000002,790000,g,5,3,1.0,1.0,1.0,1.0,0.0,360,0,0,1
54,Chalet adosado en venta en Churriana-El Pizarrillo-La Noria-Guadalsol,"Churriana, Málaga",36.6633891,-4.4988999000000005,299990,e,4,3,0.0,0.0,1.0,0.0,0.0,213,0,0,1
55,Piso en venta en Churriana-El Pizarrillo-La Noria-Guadalsol,"Churriana, Málaga",36.6613088,-4.4990457,250000,f,2,1,1.0,1.0,1.0,1.0,1.0,109,0,0,1
56,Chalet adosado en venta en Churriana-El Pizarrillo-La Noria-Guadalsol,"Churriana, Málaga",36.6695723,-4.5186574,320000,a,3,3,0.0,1.0,0.0,1.0,0.0,161,0,0,1
57,Casa o chalet independiente en venta en antequera,"Pinos de Alhaurín, Alhaurín de la Torre",36.6450558,-4.5901766,550000,inProcess,4,4,1.0,1.0,1.0,1.0,0.0,280,0,0,1
