,titulo,localizacion,latitude,longitude,price,energy_certification,basic_characteristics,room_number,bath_number,has_garden,has_terrace,has_parking,has_swimmingpool,has_lift,constructed_area,is_new_development,is_needs_renovating,is_goog_condition
39,Casa o chalet independiente en venta en Viña Borrego s/n,Coin,36.6571382,-4.7181968,1380000,e,"{'roomNumber': '6', 'bathNumber': '6', 'hasParking': '1', 'hasTerrace': '1', 'constructedArea': '500'}",6,6,,1,1,,,500,0,0,1
40,"Casa o chalet independiente en venta en calle Martín Torrecilla, 2","Manantiales - Lagar - Cortijo, Alhaurín de la Torre",36.6593029,-4.5299763,3237000,d,"{'roomNumber': '10', 'bathNumber': '10', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '510'}",10,10,1,1,1,1,,510,0,0,1
41,"Piso en venta en cuesta del Palmar, 34","Alquería-Torrealquería, Alhaurín de la Torre",36.6758304,-4.6002676,270000,unknown,"{'roomNumber': '2', 'bathNumber': '2', 'hasLift': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '90'}",2,2,1,1,,1,1,90,0,0,1
42,Chalet adosado en venta en avenida El Limón,"Platero - El Limón, Alhaurín de la Torre",36.6576578,-4.5683089,244000,d,"{'roomNumber': '3', 'bathNumber': '2', 'hasTerrace': '1', 'constructedArea': '114'}",3,2,,1,,,,114,0,0,1
43,Casa o chalet independiente en venta en El Romeral,"El Romeral-Peñón de Zapata, Alhaurín de la Torre",36.6949692,-4.5614074,231000,e,"{'roomNumber': '2', 'bathNumber': '1', 'hasParking': '1', 'hasGarden': '1', 'hasTerrace': '1', 'constructedArea': '133'}",2,1,1,1,1,,,133,0,0,1
44,Casa o chalet independiente en venta en avenida el Manantial,"Manantiales - Lagar - Cortijo, Alhaurín de la Torre",36.6571837,-4.5517931,1150000,inProcess,"{'roomNumber': '8', 'bathNumber': '8', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '683'}",8,8,1,1,1,1,,683,0,0,1
45,Chalet pareado en venta en calle Vivaldi,"Capellanía - Retamar, Alhaurín de la Torre",36.6627302,-4.5514142,445000,inProcess,"{'roomNumber': '5', 'bathNumber': '4', 'hasParking': '1', 'hasGarden': '1', 'hasTerrace': '1', 'constructedArea': '215'}",5,4,1,1,1,,,215,0,0,1
46,Piso en venta en C/NUEVA,"Centro, Alhaurín el Grande",36.6421002,-4.6900478,93480,e,"{'roomNumber': '1', 'bathNumber': '1', 'hasLift': '1', 'hasTerrace': '1', 'constructedArea': '60'}",1,1,,1,,,1,60,0,0,1
47,Chalet adosado en venta en Pinos de Alhaurín,Alhaurín de la Torre,36.6664202,-4.5849056,342000,unknown,"{'roomNumber': '3', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '157'}",3,3,1,1,1,1,,157,0,0,1
48,Casa o chalet independiente en venta en calle Ronda,"Pinos de Alhaurín, Alhaurín de la Torre",36.6513482,-4.579762,418000,e,"{'roomNumber': '3', 'bathNumber': '2', 'hasParking': '1', 'hasGarden': '0', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '287'}",3,2,0,1,1,1,,287,0,0,1
49,Casa o chalet en venta en calle Teba,"Pinos de Alhaurín, Alhaurín de la Torre",36.644381,-4.5747075,600000,g,"{'roomNumber': '6', 'bathNumber': '5', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '540'}",6,5,1,1,1,1,,540,0,0,1
