,latitude,longitude,price,energy_certification,room_number,bath_number,has_garden,has_terrace,has_parking,has_swimmingpool,has_lift,constructed_area,is_new_development,is_needs_renovating,is_goog_condition
20,36.6633251,-4.4984817,235000,4,3,2,1.0,1.0,1.0,1.0,1.0,102,0,0,1
21,36.663755,-4.4610281,262181,4,2,1,0.0,0.0,0.0,0.0,1.0,103,0,0,1
22,36.6575706,-4.5026624,567000,7,5,4,1.0,1.0,0.0,1.0,0.0,410,0,0,1
23,36.6967119,-4.4499633,273100,2,3,2,0.0,1.0,1.0,1.0,1.0,101,1,0,0
24,36.6967119,-4.4499633,246300,2,2,2,0.0,1.0,1.0,1.0,1.0,83,1,0,0
25,36.6686969,-4.5119353,320000,8,4,2,0.0,1.0,1.0,1.0,0.0,160,0,0,1
26,36.6645609,-4.5046185,275730,3,3,2,1.0,1.0,0.0,0.0,0.0,115,0,0,1
27,36.6412735,-4.6863278,135000,7,3,1,0.0,1.0,0.0,0.0,0.0,80,0,0,1
28,36.6589208,-4.5786768,2706000,5,8,8,1.0,1.0,1.0,1.0,0.0,2500,0,0,1
29,36.6513777,-4.4926351,795000,3,5,5,1.0,1.0,1.0,1.0,0.0,407,0,0,1
30,36.6599641,-4.5036408,1148000,5,5,4,1.0,1.0,1.0,0.0,0.0,650,0,0,1
31,36.6967119,-4.4499633,436700,2,4,2,0.0,1.0,1.0,1.0,1.0,151,1,0,0
32,36.6595179,-4.5050633,291800,7,3,2,1.0,1.0,1.0,1.0,1.0,118,0,0,1
33,36.6543062,-4.4966166,790000,4,4,2,1.0,1.0,1.0,1.0,0.0,255,0,0,1
34,36.6707764,-4.5164089,320000,1,3,3,0.0,1.0,1.0,1.0,0.0,140,0,0,1
35,36.6536297,-4.4921254,795000,0,5,5,1.0,1.0,1.0,1.0,0.0,407,0,1,0
36,36.6576179,-4.5050633,297100,3,3,2,1.0,1.0,1.0,1.0,1.0,156,0,0,1
37,36.654368,-4.4935667,790000,2,5,3,1.0,1.0,1.0,1.0,0.0,440,0,0,1
38,36.6634024,-4.4985914,205000,4,3,1,0.0,1.0,1.0,0.0,0.0,130,0,0,1
39,36.6599712,-4.503655,1148000,5,6,6,1.0,1.0,1.0,0.0,0.0,650,0,0,1
40,36.665484,-4.4593381,249900,8,3,1,1.0,1.0,1.0,1.0,1.0,83,0,0,1
41,36.6598242,-4.5041845,297100,4,3,2,1.0,1.0,1.0,1.0,1.0,118,0,0,1
42,36.666543,-4.4609756,779000,7,4,3,1.0,0.0,1.0,1.0,0.0,230,0,0,1
43,36.6616864,-4.4983251,367000,3,4,3,1.0,1.0,1.0,1.0,0.0,195,0,0,1
44,37.1328,-3.66879,129900,7,4,2,0.0,1.0,0.0,0.0,1.0,115,0,0,1
45,37.1329055,-3.6706027,179999,7,4,2,1.0,1.0,1.0,1.0,0.0,230,0,0,1
46,36.6469253,-4.5018207,182100,7,3,1,0.0,1.0,0.0,0.0,0.0,83,0,1,0
47,36.6638777,-4.4607722,262181,5,2,1,1.0,0.0,0.0,1.0,1.0,108,0,0,1
48,36.6507172,-4.4980983,900000,7,6,4,1.0,1.0,1.0,1.0,0.0,384,0,1,0
49,36.6659889,-4.5149367,182000,7,1,1,1.0,1.0,1.0,1.0,1.0,55,0,0,1
50,36.6597396,-4.5822228,210000,7,1,1,1.0,0.0,0.0,1.0,0.0,65,0,0,1
51,36.660146,-4.4978386,235000,7,3,2,1.0,0.0,1.0,1.0,1.0,89,0,0,1
52,36.6548086,-4.4900614,790000,3,5,3,1.0,1.0,1.0,1.0,0.0,440,0,0,1
53,36.653835,-4.4919179,790000,6,5,3,1.0,1.0,1.0,1.0,0.0,360,0,0,1
54,36.6633891,-4.4988999,299990,4,4,3,0.0,0.0,1.0,0.0,0.0,213,0,0,1
55,36.6613088,-4.4990457,250000,5,2,1,1.0,1.0,1.0,1.0,1.0,109,0,0,1
56,36.6695723,-4.5186574,320000,0,3,3,0.0,1.0,0.0,1.0,0.0,161,0,0,1
57,36.6450558,-4.5901766,550000,7,4,4,1.0,1.0,1.0,1.0,0.0,280,0,0,1
58,36.6463857,-4.5002249,639000,4,3,2,1.0,1.0,1.0,0.0,0.0,298,0,0,1
59,36.6632566,-4.5192925,330000,7,3,4,1.0,1.0,1.0,1.0,0.0,239,0,0,1
