,id
522,100080815
523,94516441
524,100130041
525,99894365
526,98782016
527,99819470
528,99760036
529,99112194
530,98951578
531,100027018
532,100026961
533,100026513
534,99980854
535,99935929
536,99707143
537,99705721
538,99472265
539,99472243
540,99457087
541,99281742
542,98535235
543,98355146
544,98330694
545,98095839
546,97155931
547,96456948
548,96135546
549,95682100
550,99999541
551,99980081
552,99607891
553,99577747
554,99577716
555,99249605
556,97953589
557,96729088
558,95630415
559,97685992
560,99895550
561,99881352
562,99591769
563,93330674
564,99168794
565,98114932
566,98223739
567,98305542
568,98143859
569,82132252
570,97118321
571,95450374
572,94669381
573,99889257
574,99500005
575,99378365
576,99168069
577,99167656
578,99092557
579,98909645
580,98808220
581,98750057
582,97664882
583,97249251
584,96817366
585,95111403
586,88321062
587,96987969
588,99855763
589,91299577
590,98848084
591,97357766
592,95265617
593,95710625
594,99428387
595,98582495
596,99261494
597,36578697
598,98951131
599,98052175
600,82821431
601,95925928
602,94437751
603,99845818
604,99830115
605,99616339
606,99587662
607,99029084
608,98983679
609,98945416
610,97424606
611,98590926
612,98561624
613,97542765
614,97159975
615,97294908
616,96707861
617,96029189
618,96221278
619,99406356
620,99265219
621,99249417
622,97970947
623,97163206
624,96838918
625,82861065
626,99967088
627,99576880
628,99555156
629,99424495
630,99383465
631,99120032
632,98474255
633,97987268
634,97792523
635,97649014
636,97574565
637,97481890
638,97477372
639,95984610
640,95984626
641,94751810
642,94629739
643,91450671
644,82992426
645,86464342
646,85046706
647,84587808
648,84504017
649,84504011
650,37052393
651,99959599
652,99511178
653,92004174
654,99453062
655,98931036
656,98688637
657,98387593
658,97908235
659,95205738
660,91051198
661,31086349
662,93667643
663,1426141
664,99509521
665,99422781
666,99425183
667,98895793
668,40369712
669,98220577
670,98122752
671,85697859
672,91771605
673,88990759
674,88650571
675,88399147
676,86843548
677,82783733
678,35358266
679,33470351
680,99847861
681,99483094
682,98434143
683,98361033
684,96515329
685,91900684
686,88639884
687,82900470
688,417135
689,99943530
690,99817949
691,93797892
692,99587410
693,98013752
694,93525178
695,98058426
696,99931310
697,99735061
698,98951389
699,85474596
700,97215377
701,95462829
702,95415322
703,95205614
704,87053431
705,82495323
706,100027080
707,99912382
708,99880335
709,97551276
710,99439815
711,99195673
712,99155037
713,94731658
714,98746323
715,98472869
716,98225223
717,98210121
718,97675585
719,95095285
720,40416794
721,99860585
722,99617685
723,36360730
724,99246538
725,98928554
726,98738603
727,98417763
728,98371355
729,98117855
730,95861759
731,95386142
732,87161104
733,38469748
734,86811826
735,99926479
736,99895410
737,98467738
738,99972671
739,99889660
740,99881053
741,99790821
742,98868219
743,98658150
744,98506070
745,97970384
746,97565320
747,97041913
748,96697210
749,95891294
750,99156694
751,99568569
752,99364595
753,99419400
754,96257663
755,98937680
756,98771255
757,98142186
758,96619217
759,95051485
760,95417364
761,94784114
762,94784166
763,94784159
764,94784170
765,39050728
766,99846589
767,99846588
768,99495347
769,99246277
770,99112213
771,98717738
772,98655343
773,98241163
774,98201098
775,97992592
776,97970565
777,97413931
778,95184696
779,94783944
780,94783964
781,94783963
782,94783931
783,94783986
784,94784049
785,94784055
786,94784079
787,94784103
788,94784125
789,94784118
790,94784120
791,94784138
792,94783932
793,94783915
794,94783888
795,94783886
796,94783892
797,94783877
798,94751121
799,94561232
800,99722397
801,99458291
802,99409110
803,95380675
804,92650851
805,92641642
806,99208091
807,90303682
808,39447646
809,86986769
810,34196718
811,99868112
812,99841438
813,99840605
814,99749056
815,99743025
816,99117827
817,98572748
818,98278239
819,98016067
820,83103146
821,99977821
822,99549365
823,538912
824,88019376
825,99921917
826,99921968
827,99567308
828,98730698
829,98730194
830,35822875
831,86063826
832,99647841
833,99366872
834,86986637
835,32345607
836,98820417
837,96159771
838,96159686
839,99939207
840,99857195
841,99576727
842,82512055
843,98601688
844,35133281
845,96947334
846,96186537
847,95760083
848,94762110
849,93953403
850,91227543
851,91041433
852,87325730
853,81222324
854,99081567
855,98790182
856,98370347
857,98264652
858,97504510
859,97169635
860,97024502
861,95125691
862,99823732
863,99652914
864,94819803
865,99453927
866,98501151
867,98372276
868,98150925
869,98569723
870,98101676
871,85554796
872,99826046
873,99602279
874,99540401
875,99175559
876,98967374
877,97470343
878,95645690
879,99996928
880,97792702
881,98193119
882,98104541
883,97413934
884,94784135
885,94783912
886,98772076
887,95535300
888,90256174
889,96485096
890,94783985
891,100020668
892,94783941
893,96531534
894,91307019
895,459748
896,99593184
897,98990897
898,98924290
899,96193248
900,93929320
901,90514979
902,87343749
903,81816949
904,81789348
905,28083978
906,38758602
907,98183897
908,97155363
909,93305359
910,348707
911,97066160
912,95390373
913,99944322
914,40122601
915,89794032
916,88717480
917,31452616
918,90249044
919,40122588
920,40122591
921,98704004
922,97673959
923,26878655
924,95916870
