titulo,localizacion,latitude,longitude,price,energy_certification,room_number,bath_number,has_garden,has_terrace,has_parking,has_swimmingpool,has_lift,constructed_area,is_new_development,is_needs_renovating,is_goog_condition,Price_predict,Var_Prices,%_rentabilidad
97,4,36.67119,-4.5169,265900,8,3,2,0.0,1.0,1.0,1.0,1.0,113,1,0,0,258882.4321000129,-7017.567899987102,-2.6391755923230917
57,5,36.6487253,-4.5018207000000015,182100,6,2,1,0.0,1.0,0.0,0.0,0.0,83,0,0,1,227396.64642879367,45296.64642879367,24.874599905982244
108,5,36.6598242,-4.5041845,291800,6,3,2,1.0,1.0,1.0,1.0,1.0,159,0,0,1,341144.0346508026,49344.03465080261,16.910224349144144
56,5,36.6499253,-4.5013207,182100,6,2,1,1.0,1.0,0.0,0.0,0.0,83,0,0,1,259038.77768017352,76938.77768017352,42.2508389237636
63,4,36.66925560000001,-4.5108488,256500,6,4,2,0.0,1.0,0.0,0.0,0.0,153,0,0,1,268727.4661615491,12227.466161549091,4.767043337835903
32,5,36.6591767,-4.502023,1148000,6,6,6,1.0,1.0,1.0,0.0,0.0,650,0,0,1,1279457.0874952078,131457.0874952078,11.45096580968709
22,5,36.6530063,-4.4933191,750000,3,4,3,1.0,1.0,1.0,1.0,0.0,551,0,0,1,874845.5601600558,124845.56016005576,16.646074688007435
57,5,36.6487253,-4.5018207000000015,182100,4,3,1,0.0,1.0,1.0,0.0,0.0,83,0,0,1,237884.19025029242,55784.19025029242,30.63382221323032
40,5,36.6489861,-4.502343,1089800,4,14,7,1.0,1.0,1.0,0.0,0.0,1071,0,1,0,1444443.8391857594,354643.8391857594,32.542103063475814
108,5,36.6598242,-4.5041845,297100,4,3,2,1.0,1.0,1.0,1.0,1.0,116,0,0,1,304232.29191830754,7132.291918307543,2.4006367951220273
108,5,36.6598242,-4.5041845,291800,4,3,2,1.0,1.0,1.0,1.0,1.0,118,0,0,1,305845.79388201237,14045.793882012367,4.813500302266061
108,5,36.6598242,-4.5041845,297100,4,3,2,1.0,1.0,1.0,1.0,1.0,156,0,0,1,336502.33119241893,39402.33119241893,13.262312754095904
104,9,36.6637115,-4.4612152,262181,4,1,1,1.0,0.0,0.0,1.0,1.0,108,0,0,1,229812.3800329864,-32368.619967013597,-12.34590605994088
32,5,36.66127120000001,-4.5050550000000005,1148000,5,5,4,1.0,0.0,0.0,0.0,0.0,650,0,0,1,990330.2902294397,-157669.70977056026,-13.734295276181207
63,4,36.6731556,-4.5081488,256500,6,4,2,0.0,1.0,0.0,0.0,0.0,153,0,0,1,260503.10143101215,4003.1014310121536,1.5606633259306641
105,4,36.6657797,-4.5058803,252000,8,2,2,0.0,1.0,1.0,1.0,1.0,104,1,0,0,289789.4400951266,37789.44009512663,14.995809561558184
105,4,36.6657797,-4.5058803,215000,8,2,2,0.0,1.0,1.0,1.0,1.0,84,1,0,0,273654.4204580784,58654.420458078384,27.281125794455065
105,4,36.6657797,-4.5058803,225000,8,2,2,0.0,1.0,1.0,1.0,1.0,82,1,0,0,272040.91849437356,47040.91849437356,20.907074886388248
105,4,36.6657797,-4.5058803,275000,8,3,2,0.0,1.0,1.0,1.0,1.0,107,1,0,0,273180.7031669915,-1819.2968330085278,-0.6615624847303737
116,4,36.6657797,-4.5058803,358000,8,3,2,0.0,1.0,1.0,1.0,1.0,111,1,0,0,253879.2684803903,-104120.73151960969,-29.084003217768068
0,3,36.66474,-4.505719999999998,1300000,7,5,6,1.0,1.0,1.0,1.0,0.0,659,0,0,1,1284959.611011371,-15040.388988628983,-1.1569529991253065
52,4,36.6719544,-4.5160087,355000,8,4,3,1.0,1.0,1.0,1.0,0.0,250,1,0,0,498038.29240868986,143038.29240868986,40.29247673484221
52,4,36.6719544,-4.5160087,335000,8,4,3,1.0,1.0,1.0,1.0,0.0,235,1,0,0,485937.0276809037,150937.02768090367,45.05582915847871
52,4,36.6719544,-4.5160087,345000,8,4,3,1.0,1.0,1.0,1.0,0.0,235,1,0,0,485937.0276809037,140937.02768090367,40.85131237127643
52,4,36.6719544,-4.5160087,362000,8,4,3,1.0,1.0,1.0,1.0,0.0,250,1,0,0,498038.29240868986,136038.29240868986,37.5796387869309
114,4,36.67119,-4.5169,375900,8,4,2,0.0,1.0,1.0,1.0,1.0,248,1,0,0,313948.146918416,-61951.85308158398,-16.480939899330664
87,9,36.6639614,-4.4614042000000005,299000,7,3,2,1.0,1.0,1.0,1.0,1.0,95,0,0,1,395739.26943171024,96739.26943171024,32.35427071294657
115,4,36.6732957,-4.5112724,189500,8,2,1,0.0,1.0,0.0,0.0,0.0,150,1,0,0,90202.65210798383,-99297.34789201617,-52.399655879691906
0,3,36.6632593,-4.5028602,264500,7,3,3,0.0,0.0,1.0,0.0,0.0,200,0,0,1,608638.0009309798,344138.00093097985,130.108885040068
105,4,36.6657797,-4.5058803,257000,8,3,2,0.0,1.0,1.0,1.0,1.0,103,1,0,0,269953.6992395818,12953.699239581823,5.0403498986699695
105,4,36.6657797,-4.5058803,258000,8,2,2,0.0,1.0,1.0,1.0,1.0,83,1,0,0,272847.669476226,14847.669476225972,5.7549106496999896
105,4,36.6657797,-4.5058803,293000,8,3,2,0.0,1.0,1.0,1.0,1.0,101,1,0,0,268340.197275877,-24659.802724123,-8.416314922908875
116,4,36.6657797,-4.5058803,389000,8,4,2,0.0,1.0,1.0,1.0,1.0,118,1,0,0,240497.5354796648,-148502.4645203352,-38.175440750728846
116,4,36.6657797,-4.5058803,344000,8,3,2,0.0,1.0,1.0,1.0,1.0,105,1,0,0,249038.76258927584,-94961.23741072416,-27.60501087521051
105,4,36.6657797,-4.5058803,318000,8,3,2,1.0,0.0,1.0,1.0,1.0,104,1,0,0,275587.6917279959,-42412.30827200413,-13.337203859120795
19,5,36.6508438,-4.4906787,790000,4,5,3,1.0,1.0,1.0,1.0,0.0,552,0,1,0,721022.2074582279,-68977.79254177213,-8.731366144528117
109,10,36.6107298,-4.5038413,175000,0,1,1,1.0,1.0,1.0,1.0,1.0,50,0,0,1,331341.27028107643,156341.27028107643,89.33786873204367
10,3,36.6549146,-4.4916535999999985,1990000,2,11,7,1.0,1.0,1.0,1.0,0.0,1028,0,0,1,1615110.4052217603,-374889.5947782397,-18.838673104434157
11,3,36.6563299,-4.4900142,1210000,3,5,5,1.0,1.0,1.0,1.0,0.0,659,0,0,1,1193015.7398626506,-16984.260137349367,-1.4036578625908567
111,4,36.6689494,-4.5176987,334000,2,2,2,1.0,1.0,1.0,1.0,1.0,143,0,0,1,283635.8657783717,-50364.13422162831,-15.079082102283925
78,5,36.6546359,-4.4973702000000015,445000,3,4,3,1.0,1.0,1.0,0.0,0.0,300,0,0,1,606319.4320338666,161319.43203386664,36.25155776041947
26,4,36.668864,-4.4762231,215000,4,3,1,0.0,0.0,1.0,0.0,0.0,171,0,0,1,319685.1793604195,104685.17936041951,48.69078109786954
114,4,36.67119,-4.5169,375900,8,4,2,1.0,1.0,1.0,1.0,1.0,236,1,0,0,336931.9928229749,-38968.00717702508,-10.366588767498026
97,4,36.67119,-4.5169,279900,8,3,2,0.0,1.0,1.0,1.0,1.0,118,1,0,0,262916.18700927496,-16983.81299072504,-6.0678145733208435
61,4,36.6719099,-4.51791,299900,8,3,3,1.0,0.0,1.0,1.0,0.0,139,1,0,0,378287.014074862,78387.014074862,26.137717264042017
97,4,36.67119,-4.5169,249900,8,3,2,0.0,1.0,1.0,1.0,1.0,117,1,0,0,262109.43602742255,12209.436027422547,4.885728702449999
117,5,36.660194,-4.49976,385000,1,3,2,0.0,1.0,1.0,1.0,1.0,116,1,0,0,277590.7306050509,-107409.26939494908,-27.898511531155606
98,15,37.1450549,-3.6416323,172670,8,3,2,0.0,1.0,1.0,1.0,1.0,125,1,0,0,176410.3753180951,3740.375318095088,2.166198713207325
98,15,37.1450549,-3.6416323,165877,8,3,2,0.0,1.0,1.0,1.0,1.0,111,1,0,0,165115.86157214642,-761.1384278535843,-0.45885712175502585
98,15,37.1450549,-3.6416323,170297,8,3,2,0.0,1.0,1.0,1.0,1.0,112,1,0,0,165922.61255399883,-4374.387446001172,-2.5686814482939644
102,9,36.6620393,-4.460432,262181,5,2,1,1.0,0.0,0.0,1.0,1.0,102,0,0,1,217845.7680464238,-44335.23195357621,-16.910162045905768
98,15,37.1450549,-3.6416323,159320,8,3,2,1.0,0.0,1.0,1.0,1.0,119,1,0,0,176397.11093352735,17077.11093352735,10.718749016775892
98,15,37.1450549,-3.6416323,165787,8,3,2,1.0,0.0,1.0,1.0,1.0,125,1,0,0,181237.61682465672,15450.616824656725,9.319558725748536
98,15,37.1450549,-3.6416323,176746,8,3,2,1.0,0.0,1.0,1.0,1.0,116,1,0,0,173976.8579879701,-2769.1420120298862,-1.5667353218912372
98,15,37.1450549,-3.6416323,188400,8,3,2,0.0,1.0,1.0,1.0,1.0,130,1,0,0,180444.13022735715,-7955.869772642851,-4.222860813504698
98,15,37.1450549,-3.6416323,175599,8,3,2,0.0,1.0,1.0,1.0,1.0,118,1,0,0,170763.1184451133,-4835.881554886699,-2.753934563913632
